STATION_NAME                                                ELEVATION      LATITUDE       LONGITUDE      DATE           PRCP           TMAX           TMIN           
MUSCLE SHOALS WATER PLANT AL US                             164.6          34.76          -87.64         12 06 2023     0.00           60             33             
MUSCLE SHOALS WATER PLANT AL US                             164.6          34.76          -87.64         12 07 2023     0.00           52             29             
MUSCLE SHOALS WATER PLANT AL US                             164.6          34.76          -87.64         12 08 2023     0.00           61             35             
MUSCLE SHOALS WATER PLANT AL US                             164.6          34.76          -87.64         12 09 2023     0.10           62             39             
MUSCLE SHOALS WATER PLANT AL US                             164.6          34.76          -87.64         12 10 2023     0.75           70             43             
MUSCLE SHOALS WATER PLANT AL US                             164.6          34.76          -87.64         12 11 2023     0.00           49             26             
MUSCLE SHOALS WATER PLANT AL US                             164.6          34.76          -87.64         12 12 2023     0.00           51             26             
MUSCLE SHOALS WATER PLANT AL US                             164.6          34.76          -87.64         12 13 2023     0.00           58             28             
MUSCLE SHOALS WATER PLANT AL US                             164.6          34.76          -87.64         12 14 2023     0.00           60             31             
MUSCLE SHOALS WATER PLANT AL US                             164.6          34.76          -87.64         12 15 2023     0.00           63             32             
MUSCLE SHOALS WATER PLANT AL US                             164.6          34.76          -87.64         12 16 2023     0.00           62             35             
MUSCLE SHOALS WATER PLANT AL US                             164.6          34.76          -87.64         12 17 2023     0.20           57             46             
MUSCLE SHOALS WATER PLANT AL US                             164.6          34.76          -87.64         12 18 2023     0.00           52             30             
MUSCLE SHOALS WATER PLANT AL US                             164.6          34.76          -87.64         12 19 2023     0.00           51             24             
MUSCLE SHOALS WATER PLANT AL US                             164.6          34.76          -87.64         12 21 2023     0.00           52             25             
MUSCLE SHOALS WATER PLANT AL US                             164.6          34.76          -87.64         12 22 2023     0.00           56             30             
MUSCLE SHOALS WATER PLANT AL US                             164.6          34.76          -87.64         12 23 2023     0.00           64             35             
MUSCLE SHOALS WATER PLANT AL US                             164.6          34.76          -87.64         12 24 2023     0.00           67             44             
MUSCLE SHOALS WATER PLANT AL US                             164.6          34.76          -87.64         12 25 2023     0.65           65             57             
MUSCLE SHOALS WATER PLANT AL US                             164.6          34.76          -87.64         12 26 2023     0.35           64             43             
MUSCLE SHOALS WATER PLANT AL US                             164.6          34.76          -87.64         12 27 2023     0.00           55             30             
MUSCLE SHOALS WATER PLANT AL US                             164.6          34.76          -87.64         12 28 2023     0.04           58             29             
MUSCLE SHOALS WATER PLANT AL US                             164.6          34.76          -87.64         12 29 2023     0.02           43             29             
MUSCLE SHOALS WATER PLANT AL US                             164.6          34.76          -87.64         12 30 2023     0.06           41             35             
MUSCLE SHOALS WATER PLANT AL US                             164.6          34.76          -87.64         12 31 2023     0.00           41             26             
MOULTON 2 AL US                                             189.6          34.49          -87.3          12 01 2023     0.13           61             46             
MOULTON 2 AL US                                             189.6          34.49          -87.3          12 02 2023     0.56           63             46             
MOULTON 2 AL US                                             189.6          34.49          -87.3          12 03 2023     1.63           63             48             
MOULTON 2 AL US                                             189.6          34.49          -87.3          12 04 2023     0.00           63             39             
MOULTON 2 AL US                                             189.6          34.49          -87.3          12 06 2023     0.00           63             30             
MOULTON 2 AL US                                             189.6          34.49          -87.3          12 07 2023     0.00           50             27             
MOULTON 2 AL US                                             189.6          34.49          -87.3          12 08 2023     0.00           59             32             
MOULTON 2 AL US                                             189.6          34.49          -87.3          12 10 2023     0.74           72             44             
MOULTON 2 AL US                                             189.6          34.49          -87.3          12 11 2023     0.00           49             24             
MOULTON 2 AL US                                             189.6          34.49          -87.3          12 12 2023     0.00           49             24             
MOULTON 2 AL US                                             189.6          34.49          -87.3          12 13 2023     0.00           58             29             
MOULTON 2 AL US                                             189.6          34.49          -87.3          12 14 2023     0.00           59             29             
MOULTON 2 AL US                                             189.6          34.49          -87.3          12 15 2023     0.00           64             28             
MOULTON 2 AL US                                             189.6          34.49          -87.3          12 16 2023     0.00           63             30             
MOULTON 2 AL US                                             189.6          34.49          -87.3          12 17 2023     0.29           59             46             
MOULTON 2 AL US                                             189.6          34.49          -87.3          12 18 2023     0.00           50             31             
MOULTON 2 AL US                                             189.6          34.49          -87.3          12 19 2023     0.00           52             21             
MOULTON 2 AL US                                             189.6          34.49          -87.3          12 20 2023     0.00           44             22             
MOULTON 2 AL US                                             189.6          34.49          -87.3          12 21 2023     0.00           54             24             
MOULTON 2 AL US                                             189.6          34.49          -87.3          12 22 2023     0.00           55             30             
MOULTON 2 AL US                                             189.6          34.49          -87.3          12 23 2023     0.00           62             37             
MOULTON 2 AL US                                             189.6          34.49          -87.3          12 24 2023     0.00           68             42             
MOULTON 2 AL US                                             189.6          34.49          -87.3          12 25 2023     1.43           64             48             
MOULTON 2 AL US                                             189.6          34.49          -87.3          12 26 2023     0.32           64             46             
MOULTON 2 AL US                                             189.6          34.49          -87.3          12 27 2023     0.00           51             29             
MOULTON 2 AL US                                             189.6          34.49          -87.3          12 28 2023     0.00           57             28             
MOULTON 2 AL US                                             189.6          34.49          -87.3          12 29 2023     0.02           44             30             
MOULTON 2 AL US                                             189.6          34.49          -87.3          12 30 2023     0.04           40             33             
MOULTON 2 AL US                                             189.6          34.49          -87.3          12 31 2023     0.00           40             26             
RUSSELLVILLE NUMBER 2 AL US                                 253            34.51          -87.73         12 05 2023     0.00           63             30             
RUSSELLVILLE NUMBER 2 AL US                                 253            34.51          -87.73         12 06 2023     0.00           58             38             
RUSSELLVILLE NUMBER 2 AL US                                 253            34.51          -87.73         12 07 2023     0.00           52             29             
RUSSELLVILLE NUMBER 2 AL US                                 253            34.51          -87.73         12 08 2023     0.00           58             40             
RUSSELLVILLE NUMBER 2 AL US                                 253            34.51          -87.73         12 10 2023     1.27           70             42             
RUSSELLVILLE NUMBER 2 AL US                                 253            34.51          -87.73         12 11 2023     0.00           47             25             
RUSSELLVILLE NUMBER 2 AL US                                 253            34.51          -87.73         12 12 2023     0.00           51             26             
RUSSELLVILLE NUMBER 2 AL US                                 253            34.51          -87.73         12 13 2023     0.00           57             31             
RUSSELLVILLE NUMBER 2 AL US                                 253            34.51          -87.73         12 14 2023     0.00           57             21             
RUSSELLVILLE NUMBER 2 AL US                                 253            34.51          -87.73         12 15 2023     0.00           62             32             
RUSSELLVILLE NUMBER 2 AL US                                 253            34.51          -87.73         12 18 2023     0.00           50             29             
RUSSELLVILLE NUMBER 2 AL US                                 253            34.51          -87.73         12 20 2023     0.00           51             24             
RUSSELLVILLE NUMBER 2 AL US                                 253            34.51          -87.73         12 21 2023     0.00           54             28             
RUSSELLVILLE NUMBER 2 AL US                                 253            34.51          -87.73         12 22 2023     0.00           54             34             
RUSSELLVILLE NUMBER 2 AL US                                 253            34.51          -87.73         12 26 2023     0.00           66             42             
RUSSELLVILLE NUMBER 2 AL US                                 253            34.51          -87.73         12 27 2023     0.00           53             30             
RUSSELLVILLE NUMBER 2 AL US                                 253            34.51          -87.73         12 28 2023     0.00           56             28             
RUSSELLVILLE NUMBER 2 AL US                                 253            34.51          -87.73         12 29 2023     0.04           43             34             
SELMA AL US                                                 44.8           32.41          -87.01         12 01 2023     0.05           54             29             
SELMA AL US                                                 44.8           32.41          -87.01         12 02 2023     0.05           76             50             
SELMA AL US                                                 44.8           32.41          -87.01         12 03 2023     0.06           70             64             
SELMA AL US                                                 44.8           32.41          -87.01         12 04 2023     0.00           72             44             
SELMA AL US                                                 44.8           32.41          -87.01         12 05 2023     0.00           68             38             
SELMA AL US                                                 44.8           32.41          -87.01         12 06 2023     0.00           60             38             
SELMA AL US                                                 44.8           32.41          -87.01         12 07 2023     0.00           57             30             
SELMA AL US                                                 44.8           32.41          -87.01         12 08 2023     0.00           60             29             
SELMA AL US                                                 44.8           32.41          -87.01         12 09 2023     0.00           68             37             
SELMA AL US                                                 44.8           32.41          -87.01         12 10 2023     0.29           78             58             
SELMA AL US                                                 44.8           32.41          -87.01         12 12 2023     0.00           54             29             
SELMA AL US                                                 44.8           32.41          -87.01         12 13 2023     0.00           61             29             
SELMA AL US                                                 44.8           32.41          -87.01         12 14 2023     0.00           63             30             
SELMA AL US                                                 44.8           32.41          -87.01         12 15 2023     0.00           65             40             
SELMA AL US                                                 44.8           32.41          -87.01         12 16 2023     0.00           64             44             
SELMA AL US                                                 44.8           32.41          -87.01         12 17 2023     0.26           61             49             
SELMA AL US                                                 44.8           32.41          -87.01         12 18 2023     0.00           61             38             
SELMA AL US                                                 44.8           32.41          -87.01         12 19 2023     0.00           60             30             
SELMA AL US                                                 44.8           32.41          -87.01         12 20 2023     0.00           51             29             
SELMA AL US                                                 44.8           32.41          -87.01         12 21 2023     0.00           55             28             
SELMA AL US                                                 44.8           32.41          -87.01         12 22 2023     0.00           55             29             
SELMA AL US                                                 44.8           32.41          -87.01         12 23 2023     0.00           65             39             
SELMA AL US                                                 44.8           32.41          -87.01         12 24 2023     0.00           70             38             
SELMA AL US                                                 44.8           32.41          -87.01         12 25 2023     0.51           65             45             
SELMA AL US                                                 44.8           32.41          -87.01         12 26 2023     0.47           67             37             
SELMA AL US                                                 44.8           32.41          -87.01         12 27 2023     0.00           54             36             
SELMA AL US                                                 44.8           32.41          -87.01         12 28 2023     0.00           55             35             
SELMA AL US                                                 44.8           32.41          -87.01         12 29 2023     0.00           51             33             
SELMA AL US                                                 44.8           32.41          -87.01         12 30 2023     0.00           51             33             
SELMA AL US                                                 44.8           32.41          -87.01         12 31 2023     0.00           49             28             
MUSCLE SHOALS AIRPORT AL US                                 165.8          34.74          -87.6          12 01 2023     0.15           62             48             
MUSCLE SHOALS AIRPORT AL US                                 165.8          34.74          -87.6          12 02 2023     1.15           65             60             
MUSCLE SHOALS AIRPORT AL US                                 165.8          34.74          -87.6          12 03 2023     0.00           64             43             
MUSCLE SHOALS AIRPORT AL US                                 165.8          34.74          -87.6          12 04 2023     0.00           61             37             
MUSCLE SHOALS AIRPORT AL US                                 165.8          34.74          -87.6          12 05 2023     0.00           62             32             
MUSCLE SHOALS AIRPORT AL US                                 165.8          34.74          -87.6          12 06 2023     0.00           53             32             
MUSCLE SHOALS AIRPORT AL US                                 165.8          34.74          -87.6          12 07 2023     0.00           62             29             
MUSCLE SHOALS AIRPORT AL US                                 165.8          34.74          -87.6          12 08 2023     0.00           64             39             
MUSCLE SHOALS AIRPORT AL US                                 165.8          34.74          -87.6          12 09 2023     0.79           72             54             
MUSCLE SHOALS AIRPORT AL US                                 165.8          34.74          -87.6          12 10 2023     0.01           54             33             
MUSCLE SHOALS AIRPORT AL US                                 165.8          34.74          -87.6          12 11 2023     0.00           52             27             
MUSCLE SHOALS AIRPORT AL US                                 165.8          34.74          -87.6          12 12 2023     0.00           60             26             
MUSCLE SHOALS AIRPORT AL US                                 165.8          34.74          -87.6          12 13 2023     0.00           62             32             
MUSCLE SHOALS AIRPORT AL US                                 165.8          34.74          -87.6          12 14 2023     0.00           64             33             
MUSCLE SHOALS AIRPORT AL US                                 165.8          34.74          -87.6          12 15 2023     0.00           64             36             
MUSCLE SHOALS AIRPORT AL US                                 165.8          34.74          -87.6          12 16 2023     0.12           59             41             
MUSCLE SHOALS AIRPORT AL US                                 165.8          34.74          -87.6          12 17 2023     0.04           54             37             
MUSCLE SHOALS AIRPORT AL US                                 165.8          34.74          -87.6          12 18 2023     0.00           54             31             
MUSCLE SHOALS AIRPORT AL US                                 165.8          34.74          -87.6          12 19 2023     0.00           46             26             
MUSCLE SHOALS AIRPORT AL US                                 165.8          34.74          -87.6          12 20 2023     0.00           54             25             
MUSCLE SHOALS AIRPORT AL US                                 165.8          34.74          -87.6          12 21 2023     0.00           58             28             
MUSCLE SHOALS AIRPORT AL US                                 165.8          34.74          -87.6          12 22 2023     0.00           65             33             
MUSCLE SHOALS AIRPORT AL US                                 165.8          34.74          -87.6          12 23 2023     0.00           69             45             
MUSCLE SHOALS AIRPORT AL US                                 165.8          34.74          -87.6          12 24 2023     0.00           67             47             
MUSCLE SHOALS AIRPORT AL US                                 165.8          34.74          -87.6          12 25 2023     0.98           66             55             
MUSCLE SHOALS AIRPORT AL US                                 165.8          34.74          -87.6          12 26 2023     0.00           55             35             
MUSCLE SHOALS AIRPORT AL US                                 165.8          34.74          -87.6          12 27 2023     0.00           60             30             
MUSCLE SHOALS AIRPORT AL US                                 165.8          34.74          -87.6          12 28 2023     0.00           47             31             
